year,garnizon,sex,suicides,outcome
2009,Poznań,Female,83,Attempted
2009,Szczecin,Female,60,Attempted
2009,Warszawa,Female,54,Attempted
2010,Wrocław,Female,43,Attempted
2010,Bydgoszcz,Female,44,Attempted
2010,Lublin,Female,54,Attempted
2010,Gorzów Wlkp.,Female,40,Attempted
2010,Łódź,Female,77,Attempted
2010,Kraków,Female,70,Attempted
2010,Radom,Female,59,Attempted
2010,Opole,Female,49,Attempted
2010,Rzeszów,Female,40,Attempted
2010,Białystok,Female,36,Attempted
2010,Gdańsk,Female,44,Attempted
2010,Katowice,Female,141,Attempted
2010,Kielce,Female,29,Attempted
2010,Olsztyn,Female,84,Attempted
2010,Poznań,Female,61,Attempted
2010,Szczecin,Female,56,Attempted
2010,Warszawa,Female,49,Attempted
2011,Wrocław,Female,47,Attempted
2011,Bydgoszcz,Female,60,Attempted
2011,Lublin,Female,48,Attempted
2011,Gorzów Wlkp.,Female,39,Attempted
2011,Łódź,Female,79,Attempted
2011,Kraków,Female,81,Attempted
2011,Radom,Female,43,Attempted
2011,Opole,Female,29,Attempted
2011,Rzeszów,Female,30,Attempted
2011,Białystok,Female,46,Attempted
2011,Gdańsk,Female,38,Attempted
2011,Katowice,Female,112,Attempted
2011,Kielce,Female,23,Attempted
2011,Olsztyn,Female,108,Attempted
2011,Poznań,Female,52,Attempted
2011,Szczecin,Female,49,Attempted
2011,Warszawa,Female,45,Attempted
2012,Wrocław,Female,46,Attempted
2012,Bydgoszcz,Female,54,Attempted
2012,Lublin,Female,50,Attempted
2012,Gorzów Wlkp.,Female,48,Attempted
2012,Łódź,Female,112,Attempted
2012,Kraków,Female,82,Attempted
2012,Radom,Female,42,Attempted
2012,Opole,Female,39,Attempted
2012,Rzeszów,Female,43,Attempted
2012,Białystok,Female,36,Attempted
2012,Gdańsk,Female,33,Attempted
2012,Katowice,Female,132,Attempted
2012,Kielce,Female,131,Attempted
2012,Olsztyn,Female,69,Attempted
2012,Poznań,Female,43,Attempted
2012,Szczecin,Female,52,Attempted
2012,Warszawa,Female,76,Attempted
2013,Bydgoszcz,Male,248,Attempted
2013,Białystok,Male,230,Attempted
2013,Gdańsk,Male,342,Attempted
2013,Gorzów Wlkp.,Male,209,Attempted
2013,Katowice,Male,915,Attempted
2013,Kielce,Male,589,Attempted
2013,Kraków,Male,560,Attempted
2013,Łódź,Male,573,Attempted
2013,Lublin,Male,397,Attempted
2013,Olsztyn,Male,375,Attempted
2013,Opole,Male,176,Attempted
2013,Poznań,Male,416,Attempted
2013,Rzeszów,Male,286,Attempted
2013,Szczecin,Male,347,Attempted
2013,Warszawa,Male,416,Attempted
2013,Radom,Male,459,Attempted
2013,Wrocław,Male,459,Attempted
2014,Bydgoszcz,Male,283,Attempted
2014,Białystok,Male,294,Attempted
2014,Gdańsk,Male,358,Attempted
2014,Gorzów Wlkp.,Male,203,Attempted
2014,Katowice,Male,1095,Attempted
2014,Kielce,Male,666,Attempted
2014,Kraków,Male,754,Attempted
2014,Łódź,Male,686,Attempted
2014,Lublin,Male,432,Attempted
2014,Olsztyn,Male,518,Attempted
2014,Opole,Male,184,Attempted
2014,Poznań,Male,496,Attempted
2014,Rzeszów,Male,355,Attempted
2014,Szczecin,Male,343,Attempted
2014,Warszawa,Male,418,Attempted
2014,Radom,Male,504,Attempted
2014,Wrocław,Male,561,Attempted
2015,Bydgoszcz,Male,297,Attempted
2015,Białystok,Male,252,Attempted
2015,Gdańsk,Male,380,Attempted
2015,Gorzów Wlkp.,Male,234,Attempted
2015,Katowice,Male,1152,Attempted
2015,Kielce,Male,598,Attempted
2015,Kraków,Male,663,Attempted
2015,Łódź,Male,694,Attempted
2015,Lublin,Male,414,Attempted
2015,Olsztyn,Male,489,Attempted
2015,Opole,Male,193,Attempted
2015,Poznań,Male,493,Attempted
