year,garnizon,outcome,total,percentage
2017,Kraków,Attempted,1022,NA
2017,Kraków,Fatal,413,NA
2017,Lublin,Attempted,557,NA
2017,Lublin,Fatal,331,NA
2017,Łódź,Attempted,1267,NA
2017,Łódź,Fatal,380,NA
2017,Olsztyn,Attempted,563,NA
2017,Olsztyn,Fatal,226,NA
2017,Opole,Attempted,234,NA
2017,Opole,Fatal,126,NA
2017,Poznań,Attempted,678,NA
2017,Poznań,Fatal,411,NA
2017,Radom,Attempted,643,NA
2017,Radom,Fatal,393,NA
2017,Rzeszów,Attempted,580,NA
2017,Rzeszów,Fatal,285,NA
2017,Szczecin,Attempted,466,NA
2017,Szczecin,Fatal,249,NA
2017,Warszawa,Attempted,461,NA
2017,Warszawa,Fatal,348,NA
2017,Wrocław,Attempted,782,NA
2017,Wrocław,Fatal,440,NA
2018,Białystok,Attempted,346,NA
2018,Białystok,Fatal,139,NA
2018,Bydgoszcz,Attempted,413,NA
2018,Bydgoszcz,Fatal,281,NA
2018,Gdańsk,Attempted,569,NA
2018,Gdańsk,Fatal,274,NA
2018,Gorzów Wlkp.,Attempted,294,NA
2018,Gorzów Wlkp.,Fatal,153,NA
2018,Katowice,Attempted,1686,NA
2018,Katowice,Fatal,596,NA
2018,Kielce,Attempted,517,NA
2018,Kielce,Fatal,181,NA
2018,Kraków,Attempted,1033,NA
2018,Kraków,Fatal,398,NA
2018,Lublin,Attempted,612,NA
2018,Lublin,Fatal,321,NA
2018,Łódź,Attempted,1240,NA
2018,Łódź,Fatal,391,NA
2018,Olsztyn,Attempted,546,NA
2018,Olsztyn,Fatal,215,NA
2018,Opole,Attempted,210,NA
2018,Opole,Fatal,116,NA
2018,Poznań,Attempted,706,NA
2018,Poznań,Fatal,386,NA
2018,Radom,Attempted,626,NA
2018,Radom,Fatal,392,NA
2018,Rzeszów,Attempted,592,NA
2018,Rzeszów,Fatal,273,NA
2018,Szczecin,Attempted,421,NA
2018,Szczecin,Fatal,262,NA
2018,Warszawa,Attempted,497,NA
2018,Warszawa,Fatal,377,NA
2018,Wrocław,Attempted,859,NA
2018,Wrocław,Fatal,427,NA
2019,Białystok,Attempted,461,NA
2019,Białystok,Fatal,172,NA
2019,Bydgoszcz,Attempted,401,NA
