year,garnizon,outcome,suicides
2015,Lublin,Fatal,351
2015,Olsztyn,Attempted,589
2015,Olsztyn,Fatal,254
2015,Opole,Attempted,235
2015,Opole,Fatal,144
2015,Poznań,Attempted,574
2015,Poznań,Fatal,400
2015,Radom,Attempted,559
2015,Radom,Fatal,413
2015,Rzeszów,Attempted,466
2015,Rzeszów,Fatal,266
2015,Szczecin,Attempted,435
2015,Szczecin,Fatal,284
2015,Warszawa,Attempted,484
2015,Warszawa,Fatal,383
2015,Wrocław,Attempted,619
2015,Wrocław,Fatal,486
2016,Białystok,Attempted,389
2016,Białystok,Fatal,167
2016,Bydgoszcz,Attempted,351
2016,Bydgoszcz,Fatal,271
2016,Gdańsk,Attempted,461
2016,Gdańsk,Fatal,293
2016,Gorzów Wlkp.,Attempted,284
2016,Gorzów Wlkp.,Fatal,171
2016,Katowice,Attempted,1436
2016,Katowice,Fatal,650
2016,Kielce,Attempted,670
2016,Kielce,Fatal,210
2016,Kraków,Attempted,1029
2016,Kraków,Fatal,443
2016,Łódź,Attempted,1003
2016,Łódź,Fatal,379
2016,Lublin,Attempted,465
2016,Lublin,Fatal,341
2016,Olsztyn,Attempted,483
2016,Olsztyn,Fatal,232
2016,Opole,Attempted,244
2016,Opole,Fatal,129
2016,Poznań,Attempted,549
2016,Poznań,Fatal,394
2016,Radom,Attempted,558
2016,Radom,Fatal,398
2016,Rzeszów,Attempted,441
2016,Rzeszów,Fatal,239
2016,Szczecin,Attempted,415
2016,Szczecin,Fatal,265
2016,Warszawa,Attempted,475
2016,Warszawa,Fatal,373
2016,Wrocław,Attempted,608
2016,Wrocław,Fatal,450
2017,Białystok,Attempted,348
2017,Białystok,Fatal,142
2017,Bydgoszcz,Attempted,385
2017,Bydgoszcz,Fatal,247
2017,Gdańsk,Attempted,587
2017,Gdańsk,Fatal,318
2017,Gorzów Wlkp.,Attempted,288
2017,Gorzów Wlkp.,Fatal,166
2017,Katowice,Attempted,1667
2017,Katowice,Fatal,601
2017,Kielce,Attempted,610
2017,Kielce,Fatal,199
2017,Kraków,Attempted,1022
2017,Kraków,Fatal,413
2017,Łódź,Attempted,1267
2017,Łódź,Fatal,380
2017,Lublin,Attempted,557
2017,Lublin,Fatal,331
2017,Olsztyn,Attempted,563
2017,Olsztyn,Fatal,226
2017,Opole,Attempted,234
2017,Opole,Fatal,126
2017,Poznań,Attempted,678
2017,Poznań,Fatal,411
2017,Radom,Attempted,643
2017,Radom,Fatal,393
2017,Rzeszów,Attempted,580
2017,Rzeszów,Fatal,285
2017,Szczecin,Attempted,466
2017,Szczecin,Fatal,249
2017,Warszawa,Attempted,461
2017,Warszawa,Fatal,348
