year,garnizon,sex,suicides,outcome
2015,KWP Kraków,Male,663,Attempted
2015,KWP Łódź,Male,694,Attempted
2015,KWP Lublin,Male,414,Attempted
2015,KWP Olsztyn,Male,489,Attempted
2015,KWP Opole,Male,193,Attempted
2015,KWP Poznań,Male,493,Attempted
2015,KWP Rzeszów,Male,373,Attempted
2015,KWP Szczecin,Male,358,Attempted
2015,KSP Warszawa,Male,387,Attempted
2015,KWP Radom,Male,475,Attempted
2015,KWP Wrocław,Male,520,Attempted
2016,KWP Bydgoszcz,Male,297,Attempted
2016,KWP Białystok,Male,311,Attempted
2016,KWP Gdańsk,Male,374,Attempted
2016,KWP Gorzów Wlkp.,Male,233,Attempted
2016,KWP Katowice,Male,1068,Attempted
2016,KWP Kielce,Male,527,Attempted
2016,KWP Kraków,Male,729,Attempted
2016,KWP Łódź,Male,746,Attempted
2016,KWP Lublin,Male,385,Attempted
2016,KWP Olsztyn,Male,395,Attempted
2016,KWP Opole,Male,196,Attempted
2016,KWP Poznań,Male,448,Attempted
2016,KWP Rzeszów,Male,372,Attempted
2016,KWP Szczecin,Male,348,Attempted
2016,KSP Warszawa,Male,376,Attempted
2016,KWP Radom,Male,473,Attempted
2016,KWP Wrocław,Male,471,Attempted
2013,KWP Bydgoszcz,Female,55,Attempted
2013,KWP Białystok,Female,53,Attempted
2013,KWP Gdańsk,Female,57,Attempted
2013,KWP Gorzów Wlkp.,Female,56,Attempted
2013,KWP Katowice,Female,234,Attempted
2013,KWP Kielce,Female,136,Attempted
2013,KWP Kraków,Female,192,Attempted
2013,KWP Łódź,Female,125,Attempted
2013,KWP Lublin,Female,77,Attempted
2013,KWP Olsztyn,Female,86,Attempted
2013,KWP Opole,Female,42,Attempted
2013,KWP Poznań,Female,88,Attempted
2013,KWP Rzeszów,Female,41,Attempted
2013,KWP Szczecin,Female,69,Attempted
2013,KSP Warszawa,Female,94,Attempted
2013,KWP Radom,Female,68,Attempted
2013,KWP Wrocław,Female,104,Attempted
2014,KWP Bydgoszcz,Female,43,Attempted
2014,KWP Białystok,Female,64,Attempted
2014,KWP Gdańsk,Female,91,Attempted
2014,KWP Gorzów Wlkp.,Female,38,Attempted
2014,KWP Katowice,Female,312,Attempted
2014,KWP Kielce,Female,173,Attempted
2014,KWP Kraków,Female,250,Attempted
2014,KWP Łódź,Female,207,Attempted
