year,garnizon,age,suicides,outcome
2002,KWP Poznań,13-18,40,Attempted
2002,KWP Szczecin,13-18,22,Attempted
2002,KSP Warszawa,13-18,4,Attempted
2003,KWP Wrocław,13-18,20,Attempted
2003,KWP Bydgoszcz,13-18,10,Attempted
2003,KWP Lublin,13-18,24,Attempted
2003,KWP Gorzów Wlkp.,13-18,17,Attempted
2003,KWP Łódź,13-18,13,Attempted
2003,KWP Kraków,13-18,20,Attempted
2003,KWP Radom,13-18,13,Attempted
2003,KWP Opole,13-18,10,Attempted
2003,KWP Rzeszów,13-18,15,Attempted
2003,KWP Białystok,13-18,13,Attempted
2003,KWP Gdańsk,13-18,12,Attempted
2003,KWP Katowice,13-18,46,Attempted
2003,KWP Kielce,13-18,5,Attempted
2003,KWP Olsztyn,13-18,14,Attempted
2003,KWP Poznań,13-18,28,Attempted
2003,KWP Szczecin,13-18,21,Attempted
2003,KSP Warszawa,13-18,6,Attempted
2004,KWP Wrocław,13-18,23,Attempted
2004,KWP Bydgoszcz,13-18,28,Attempted
2004,KWP Lublin,13-18,29,Attempted
2004,KWP Gorzów Wlkp.,13-18,16,Attempted
2004,KWP Łódź,13-18,14,Attempted
2004,KWP Kraków,13-18,27,Attempted
2004,KWP Radom,13-18,16,Attempted
2004,KWP Opole,13-18,14,Attempted
2004,KWP Rzeszów,13-18,12,Attempted
2004,KWP Białystok,13-18,10,Attempted
2004,KWP Gdańsk,13-18,14,Attempted
2004,KWP Katowice,13-18,31,Attempted
2004,KWP Kielce,13-18,6,Attempted
2004,KWP Olsztyn,13-18,11,Attempted
2004,KWP Poznań,13-18,27,Attempted
2004,KWP Szczecin,13-18,27,Attempted
2004,KSP Warszawa,13-18,13,Attempted
2005,KWP Wrocław,13-18,13,Attempted
2005,KWP Bydgoszcz,13-18,20,Attempted
2005,KWP Lublin,13-18,18,Attempted
2005,KWP Gorzów Wlkp.,13-18,14,Attempted
2005,KWP Łódź,13-18,8,Attempted
2005,KWP Kraków,13-18,24,Attempted
2005,KWP Radom,13-18,19,Attempted
2005,KWP Opole,13-18,12,Attempted
2005,KWP Rzeszów,13-18,20,Attempted
2005,KWP Białystok,13-18,14,Attempted
2005,KWP Gdańsk,13-18,22,Attempted
2005,KWP Katowice,13-18,33,Attempted
2005,KWP Kielce,13-18,2,Attempted
2005,KWP Olsztyn,13-18,26,Attempted
2005,KWP Poznań,13-18,18,Attempted
2005,KWP Szczecin,13-18,22,Attempted
2005,KSP Warszawa,13-18,9,Attempted
2006,KWP Wrocław,13-18,14,Attempted
2006,KWP Bydgoszcz,13-18,15,Attempted
2006,KWP Lublin,13-18,25,Attempted
2006,KWP Gorzów Wlkp.,13-18,12,Attempted
2006,KWP Łódź,13-18,10,Attempted
2006,KWP Kraków,13-18,24,Attempted
2006,KWP Radom,13-18,14,Attempted
2006,KWP Opole,13-18,13,Attempted
